id hr5 hr10 hr15 hr20 hr25 hr30 hr35 hr40
PF3D7_0508000.1 2.62 0.58 0.27 0.37 0.3 0.72 48.44 124.02
PF3D7_0508200.1 0.35 0.16 0.16 0.4 2.74 16.37 32.47 20.25
PF3D7_0508800.1 2.35 0.61 0.75 5.14 39.88 82.46 141.18 74.52
PF3D7_0509600.1 0.32 0.35 0.72 5.45 37.92 63.27 56.07 16.9
PF3D7_0511100.1 0.07 0.05 0.3 1.47 2.66 4.73 8.33 5.68
PF3D7_0511400.1 0.13 0.08 0.1 0.32 1.72 2.14 1.52 0.53
PF3D7_0511600.1 5.81 1.66 1.98 3.57 11.13 16.13 24.59 58.52
PF3D7_0513000.1 0.37 0.26 0.59 2.68 18.61 46.56 51.17 15.58
PF3D7_0513500.1 0.5 1.35 3.29 16.04 58.67 76.36 49.31 12.19
PF3D7_0513700.1 0.14 0.09 0.1 0.31 1.33 3.6 3.6 1.28
PF3D7_0514200.1 0.32 0.23 0.52 1.98 7.45 14.59 31.83 18.69
PF3D7_0514300.1 0.18 0.18 0.59 5.46 31.49 45.73 55.13 17.23
PF3D7_0516300.1 0.27 0.91 1.99 7.09 33.88 32.06 19.34 5.17
PF3D7_0516600.1 0.79 0.25 0.44 3 25.94 49.53 68.73 23.15
PF3D7_0517100.1 0.29 0.4 0.26 1.84 14.59 23.64 20.72 4.38
PF3D7_0518100.1 0.07 0.05 0.17 1.83 14.93 25.16 27.22 8.11
PF3D7_0518800.1 0.26 0.27 0.44 1.35 2.61 2.63 1.25 1.64
PF3D7_0519900.1 0.2 0.22 0.47 1.7 13.98 26.29 47.58 19.83
PF3D7_0520800.1 0.28 0.3 0.62 2.79 18.05 37.79 63.17 19.49
PF3D7_0521400.1 0.12 0.07 0.16 2.08 21.98 41.74 55.85 20.07
PF3D7_0522500.1 0.67 0.27 0.15 0.21 10.85 41.31 87.04 56.81
PF3D7_0522600.1 1.71 0.35 0.08 0.06 0.26 0.52 9.47 29.49
PF3D7_0522700.1 0.24 0.25 0.31 1.52 12.37 29.03 43.51 17.69
PF3D7_0524200.1 0.54 0.26 0.08 0.49 1.03 1.42 2.85 3.84
PF3D7_0525700.1 8.05 1.42 0.37 0.62 5.78 25.3 40.52 40.23
PF3D7_0526100.1 0.14 0.06 0.09 0.46 9.66 21.82 22.75 8.1
PF3D7_0526700.1 0.23 0.25 0.48 2.49 17.07 40.83 78.15 29.45
PF3D7_0526900.1 4.21 9.43 15.26 48.64 126.54 188.58 238.96 98.25
PF3D7_0528900.1 0.52 0.39 0.21 1.08 2.17 2.2 2.34 1.08
PF3D7_0529000.1 3.29 2.08 3.11 9.23 33.12 41.09 52.94 26.44
PF3D7_0529100.1 0.22 0.17 0.35 2.72 20.07 38.01 47.4 17.42
PF3D7_0529300.1 0.25 0.1 0.08 0.92 11.42 19.13 29.65 16.06
PF3D7_0530200.1 0.29 0.16 0.1 0.3 6.19 33.36 71.41 35.34
PF3D7_0530300.1 1 0.24 0.1 0.25 2.41 7.79 22.41 22.71
PF3D7_0530500.1 0.05 0.06 0.07 0.25 0.91 1 1.66 0.4
PF3D7_0530750.1 0.19 0.88 1.53 4.72 25.37 43.62 34.76 18.65
PF3D7_0530800.1 0.4 0.32 0.37 1.84 8.22 16.06 26.08 10.58
PF3D7_0532100.1 99.67 198.44 275.18 1206.51 7532.53 6773.99 3065.14 769.62
PF3D7_0532200.1 0.21 0.26 0.32 0.65 4.3 10.96 13.52 9.46
PF3D7_0532500.1 0.07 0.04 0.54 10.12 97.09 85.47 59.1 12.49
PF3D7_0532600.1 0.13 0.06 0.95 36.25 398.9 223.64 77.96 7.88
PF3D7_0532900.1 0.04 0.07 0.23 1.03 6.57 5.63 3.21 0.77
PF3D7_0600500.1 0.02 0.09 0.15 0.44 3.09 1.01 0.62 0.39
PF3D7_0600600.1 0.06 0.01 0.02 0.05 0.44 0.36 0.53 0.43
PF3D7_0601000.1 0.01 0.06 0.09 0.15 0.97 0.51 0.68 0.09
PF3D7_0601100.1 0.34 0.46 0.6 1.25 2.92 1.23 0.7 0.19
PF3D7_0601200.1 0.13 0.09 0.48 2.88 24.71 11.13 2.08 0.68
PF3D7_0601300.1 0.01 0.01 0.02 0.02 0.19 0.22 0.16 0.05
PF3D7_0601500.1 0.01 0.03 0.3 1.68 6.26 6.13 3.68 1.15
PF3D7_0602300.1 0.01 0 0.03 0.02 0.34 1.8 3.03 0.97
PF3D7_0602400.1 0.17 0.18 0.66 5.53 37.05 64.05 74.48 20.71
PF3D7_0604400.1 0.24 0.13 0.42 1.22 8.13 15.66 21.7 6.65
PF3D7_0604700.1 0.39 0.27 0.28 1.15 19.66 69.66 111.53 47.53
PF3D7_0604900.1 0.4 0.4 0.35 0.92 24.6 108.29 84.79 21.91
PF3D7_0606800.1 0.69 0.28 0.21 0.41 1.89 28.25 84.27 67.85
PF3D7_0607300.1 0.12 0.08 0.06 0.23 2.19 14.69 26.29 7.57
PF3D7_0608100.1 0.43 0.64 1.19 6.41 37.03 76.65 115.76 40.35
PF3D7_0609100.1 3.4 3.28 6.27 20.63 65 77.4 68.48 34.43
PF3D7_0609500.1 0.06 0.04 0.08 0.29 0.35 0.38 0.83 0.76
PF3D7_0611100.1 0.38 0.17 0.05 0.21 2.54 23.63 60.64 39.21
PF3D7_0612300.1 0.11 0.04 0.02 0.05 1.19 3.71 5.67 6.34
PF3D7_0612700.1 11.05 2.12 1.07 3.48 14.03 16.3 48.12 98.43
PF3D7_0612800.1 0.37 0.63 0.98 3.22 9.69 17.11 18.82 7.84
PF3D7_0613100.1 4.79 3.33 5.28 16 65.86 90.92 113.34 82.82
PF3D7_0613200.1 0.35 0.3 0.07 0.19 6.11 55.26 118.19 46.85
