id hr5 hr10 hr15 hr20 hr25 hr30 hr35 hr40
PF3D7_0702000.1 119.66 83.73 60.3 55.48 46.92 15.37 6.05 5.31
PF3D7_0702300.1 22.93 24.73 22.53 29.05 17.58 8.05 4.38 0.76
PF3D7_0707300.1 149.27 25 5.13 3.74 2.39 3.03 264.06 1286.85
PF3D7_0713000.1 0 0 0 0 0.1 0.27 0.13 0.04
PF3D7_0713100.1 0.01 0.04 0.08 0.99 13.4 6.11 1.8 0.25
PF3D7_0718300.1 0.07 0.02 0.02 0.04 0.14 0.27 0.32 0.14
PF3D7_0722200.1 85.21 13.21 2.47 2.07 1.56 2.56 95.64 584.48
PF3D7_0731500.1 142.19 32.31 5.36 4.08 5.26 7.08 4.24 29.3
PF3D7_0731700.1 0.21 0.13 0.18 0.66 7.66 14.07 27.74 9.43
PF3D7_0732000.1 0 0.01 0.01 0 0.18 0.85 0.08 0.05
PF3D7_0732300.1 0.01 0 0.02 0.02 0.1 0 0.07 0.04
PF3D7_0732400.1 0.01 0.02 0.02 0.03 0.32 0.33 0 0.08
PF3D7_0732500.1 0.05 0.01 0.04 0.06 0.57 0.34 0.06 0.04
PF3D7_0732700.1 0.02 0 0.01 0.07 0 0.09 0 0.04
PF3D7_0732800.1 0 0 0 0.01 0.08 0.14 0 0.03
PF3D7_0800500.1 0 0.01 0 0.09 0.09 0.08 0.19 0
PF3D7_0800600.1 0.06 0.03 0.03 0.08 0.18 0.76 0.4 0.7
PF3D7_0800800.1 2.83 0.75 0.6 1.9 7.53 1.95 1.44 1.11
PF3D7_0801300.1 0.13 0.18 0.08 0.3 0.79 0.54 1.76 0.55
PF3D7_0807700.1 0.8 0.9 1.6 2.63 10.81 9.84 15.81 10.54
PF3D7_0808200.1 30.33 7.1 1.36 1.36 2.35 1.43 1.05 17.04
PF3D7_0808800.1 0.01 0.01 0.02 0.03 0.05 0 0.06 0
PF3D7_0808900.1 0.01 0.01 0.02 0.09 0.85 0.28 0.07 0.04
PF3D7_0812300.1 0.15 0.09 0.19 0.27 0.77 0.27 0.91 0.97
