FOLD;EPOCH;TP;FP;FN;TN;ACCURACY;MCC;PPV;RECALL;;FOLD;EPOCH;TP;FP;FN;TN;ACCURACY;MCC;PPV;RECALL
1;90;28;2;7;73;0.9181818182;0.808771359;0.9333333333;0.8;;;;;;;;;;;
1;91;28;2;7;73;0.9181818182;0.808771359;0.9333333333;0.8;;;;;;;;;;;
1;92;28;2;7;73;0.9181818182;0.808771359;0.9333333333;0.8;;;;;;;;;;;
1;93;28;2;7;73;0.9181818182;0.808771359;0.9333333333;0.8;;;;;;;;;;;
1;94;28;2;7;73;0.9181818182;0.808771359;0.9333333333;0.8;;;;;;;;;;;
1;95;28;2;7;73;0.9181818182;0.808771359;0.9333333333;0.8;;;;;;;;;;;
1;96;28;2;7;73;0.9181818182;0.808771359;0.9333333333;0.8;;;;;;;;;;;
1;97;28;2;7;73;0.9181818182;0.808771359;0.9333333333;0.8;;;;;;;;;;;
1;98;28;2;7;73;0.9181818182;0.808771359;0.9333333333;0.8;;;;;;;;;;;
2;0;2;0;39;68;0.6422018349;0.1760701106;1;0.0487804878;;;;;;;;;;;
2;1;31;3;10;65;0.880733945;0.7444645738;0.9117647059;0.756097561;;;;;;;;;;;
2;2;33;4;8;64;0.8899082569;0.7632201715;0.8918918919;0.8048780488;;;;;;;;;;;
2;3;33;4;8;64;0.8899082569;0.7632201715;0.8918918919;0.8048780488;;;;;;;;;;;
2;4;33;4;8;64;0.8899082569;0.7632201715;0.8918918919;0.8048780488;;;;;;;;;;;
2;5;33;4;8;64;0.8899082569;0.7632201715;0.8918918919;0.8048780488;;;;;;;;;;;
2;6;33;4;8;64;0.8899082569;0.7632201715;0.8918918919;0.8048780488;;;;;;;;;;;
2;7;33;4;8;64;0.8899082569;0.7632201715;0.8918918919;0.8048780488;;;;;;;;;;;
2;8;33;4;8;64;0.8899082569;0.7632201715;0.8918918919;0.8048780488;;;;;;;;;;;
2;9;33;4;8;64;0.8899082569;0.7632201715;0.8918918919;0.8048780488;;;;;;;;;;;
2;10;33;4;8;64;0.8899082569;0.7632201715;0.8918918919;0.8048780488;;;;;;;;;;;
2;11;33;4;8;64;0.8899082569;0.7632201715;0.8918918919;0.8048780488;;;;;;;;;;;
2;12;33;4;8;64;0.8899082569;0.7632201715;0.8918918919;0.8048780488;;;;;;;;;;;
2;13;33;4;8;64;0.8899082569;0.7632201715;0.8918918919;0.8048780488;;;;;;;;;;;
2;14;33;4;8;64;0.8899082569;0.7632201715;0.8918918919;0.8048780488;;;;;;;;;;;
2;15;33;4;8;64;0.8899082569;0.7632201715;0.8918918919;0.8048780488;;;;;;;;;;;
2;16;33;5;8;63;0.880733945;0.7434467519;0.8684210526;0.8048780488;;;;;;;;;;;
2;17;33;6;8;62;0.871559633;0.7242154335;0.8461538462;0.8048780488;;;;;;;;;;;
2;18;33;6;8;62;0.871559633;0.7242154335;0.8461538462;0.8048780488;;;;;;;;;;;
2;19;33;6;8;62;0.871559633;0.7242154335;0.8461538462;0.8048780488;;;;;;;;;;;
2;20;32;5;9;63;0.871559633;0.723224499;0.8648648649;0.7804878049;;;;;;;;;;;
2;21;32;5;9;63;0.871559633;0.723224499;0.8648648649;0.7804878049;;;;;;;;;;;
2;22;32;5;9;63;0.871559633;0.723224499;0.8648648649;0.7804878049;;;;;;;;;;;
2;23;32;5;9;63;0.871559633;0.723224499;0.8648648649;0.7804878049;;;;;;;;;;;
2;24;32;5;9;63;0.871559633;0.723224499;0.8648648649;0.7804878049;;;;;;;;;;;
2;25;32;5;9;63;0.871559633;0.723224499;0.8648648649;0.7804878049;;;;;;;;;;;
2;26;32;5;9;63;0.871559633;0.723224499;0.8648648649;0.7804878049;;;;;;;;;;;
2;27;32;5;9;63;0.871559633;0.723224499;0.8648648649;0.7804878049;;;;;;;;;;;
2;28;32;5;9;63;0.871559633;0.723224499;0.8648648649;0.7804878049;;;;;;;;;;;
2;29;32;5;9;63;0.871559633;0.723224499;0.8648648649;0.7804878049;;;;;;;;;;;
2;30;32;5;9;63;0.871559633;0.723224499;0.8648648649;0.7804878049;;;;;;;;;;;
2;31;32;5;9;63;0.871559633;0.723224499;0.8648648649;0.7804878049;;;;;;;;;;;
2;32;32;5;9;63;0.871559633;0.723224499;0.8648648649;0.7804878049;;;;;;;;;;;
2;33;32;5;9;63;0.871559633;0.723224499;0.8648648649;0.7804878049;;;;;;;;;;;
2;34;32;5;9;63;0.871559633;0.723224499;0.8648648649;0.7804878049;;;;;;;;;;;
2;35;32;5;9;63;0.871559633;0.723224499;0.8648648649;0.7804878049;;;;;;;;;;;
2;36;32;5;9;63;0.871559633;0.723224499;0.8648648649;0.7804878049;;;;;;;;;;;
2;37;33;5;8;63;0.880733945;0.7434467519;0.8684210526;0.8048780488;;;;;;;;;;;
2;38;33;5;8;63;0.880733945;0.7434467519;0.8684210526;0.8048780488;;;;;;;;;;;
2;39;33;5;8;63;0.880733945;0.7434467519;0.8684210526;0.8048780488;;;;;;;;;;;
2;40;33;5;8;63;0.880733945;0.7434467519;0.8684210526;0.8048780488;;;;;;;;;;;
2;41;33;5;8;63;0.880733945;0.7434467519;0.8684210526;0.8048780488;;;;;;;;;;;
2;42;33;5;8;63;0.880733945;0.7434467519;0.8684210526;0.8048780488;;;;;;;;;;;
2;43;33;5;8;63;0.880733945;0.7434467519;0.8684210526;0.8048780488;;;;;;;;;;;
2;44;33;5;8;63;0.880733945;0.7434467519;0.8684210526;0.8048780488;;;;;;;;;;;
2;45;33;5;8;63;0.880733945;0.7434467519;0.8684210526;0.8048780488;;;;;;;;;;;
2;46;33;5;8;63;0.880733945;0.7434467519;0.8684210526;0.8048780488;;;;;;;;;;;
2;47;33;5;8;63;0.880733945;0.7434467519;0.8684210526;0.8048780488;;;;;;;;;;;
2;48;33;5;8;63;0.880733945;0.7434467519;0.8684210526;0.8048780488;;;;;;;;;;;
2;49;33;5;8;63;0.880733945;0.7434467519;0.8684210526;0.8048780488;;;;;;;;;;;
2;50;33;5;8;63;0.880733945;0.7434467519;0.8684210526;0.8048780488;;;;;;;;;;;
2;51;33;5;8;63;0.880733945;0.7434467519;0.8684210526;0.8048780488;;;;;;;;;;;
2;52;33;5;8;63;0.880733945;0.7434467519;0.8684210526;0.8048780488;;;;;;;;;;;
2;53;33;5;8;63;0.880733945;0.7434467519;0.8684210526;0.8048780488;;;;;;;;;;;
2;54;33;5;8;63;0.880733945;0.7434467519;0.8684210526;0.8048780488;;;;;;;;;;;
2;55;33;5;8;63;0.880733945;0.7434467519;0.8684210526;0.8048780488;;;;;;;;;;;
2;56;33;3;8;65;0.8990825688;0.783576862;0.9166666667;0.8048780488;;;;;;;;;;;
2;57;33;3;8;65;0.8990825688;0.783576862;0.9166666667;0.8048780488;;;;;;;;;;;
2;58;33;3;8;65;0.8990825688;0.783576862;0.9166666667;0.8048780488;;;;;;;;;;;
2;59;33;3;8;65;0.8990825688;0.783576862;0.9166666667;0.8048780488;;;;;;;;;;;
2;60;33;3;8;65;0.8990825688;0.783576862;0.9166666667;0.8048780488;;;;;;;;;;;
2;61;33;3;8;65;0.8990825688;0.783576862;0.9166666667;0.8048780488;;;;;;;;;;;
2;62;33;3;8;65;0.8990825688;0.783576862;0.9166666667;0.8048780488;;;;;;;;;;;
2;63;33;3;8;65;0.8990825688;0.783576862;0.9166666667;0.8048780488;;;;;;;;;;;
2;64;33;3;8;65;0.8990825688;0.783576862;0.9166666667;0.8048780488;;;;;;;;;;;
2;65;33;3;8;65;0.8990825688;0.783576862;0.9166666667;0.8048780488;;;;;;;;;;;
2;66;33;3;8;65;0.8990825688;0.783576862;0.9166666667;0.8048780488;;;;;;;;;;;
2;67;33;3;8;65;0.8990825688;0.783576862;0.9166666667;0.8048780488;;;;;;;;;;;
2;68;33;3;8;65;0.8990825688;0.783576862;0.9166666667;0.8048780488;;;;;;;;;;;
2;69;33;3;8;65;0.8990825688;0.783576862;0.9166666667;0.8048780488;;;;;;;;;;;
2;70;33;3;8;65;0.8990825688;0.783576862;0.9166666667;0.8048780488;;;;;;;;;;;
2;71;33;3;8;65;0.8990825688;0.783576862;0.9166666667;0.8048780488;;;;;;;;;;;
