id hr5 hr10 hr15 hr20 hr25 hr30 hr35 hr40
PF3D7_0611100.1 0.38 0.17 0.05 0.21 2.54 23.63 60.64 39.21
PF3D7_0612300.1 0.11 0.04 0.02 0.05 1.19 3.71 5.67 6.34
PF3D7_0613100.1 4.79 3.33 5.28 16 65.86 90.92 113.34 82.82
PF3D7_0613200.1 0.35 0.3 0.07 0.19 6.11 55.26 118.19 46.85
PF3D7_0613400.1 2.14 0.77 0.37 1.92 26.89 95.54 192.36 124.6
PF3D7_0613600.1 3.52 0.65 0.15 0.28 3.93 11.29 13.55 8.51
PF3D7_0615300.1 0.29 0.28 0.36 1.07 8.46 27.11 48.77 21.17
PF3D7_0618400.1 0.06 0.04 0.04 0.09 0.27 0.68 0.97 0.56
PF3D7_0619100.1 0.3 0.31 0.71 2.9 11.59 19.05 19.85 10.6
PF3D7_0620200.1 0.13 0.05 0.03 0.22 0.27 0.39 0.43 1.07
PF3D7_0621000.1 0.46 0.31 1.35 7.93 33.12 38.96 49.46 13.39
PF3D7_0622000.1 0.5 0.34 0.64 1.46 8.92 11.98 15.18 9.54
PF3D7_0622200.1 3.16 6.76 11.86 31.94 86.56 87.01 79.5 17.47
PF3D7_0623300.1 0.33 0.29 0.35 0.67 16.03 55.43 82.04 47.93
PF3D7_0623500.1 0.76 1 1.7 3.85 14.23 32.8 51.22 20.43
PF3D7_0624300.1 0.75 0.45 0.51 2.4 8.69 11.86 12.63 9.75
PF3D7_0624800.1 0.13 0.04 0.05 0.1 0.2 0.5 0.71 1.28
PF3D7_0625400.1 7.26 3.21 4.1 10.26 16.38 9.23 4.67 3.41
PF3D7_0626600.1 0.35 0.32 0.45 1.09 3.41 7.55 11.79 6.76
PF3D7_0629200.1 2.13 4.17 9.09 32.35 141.04 224 294.66 118.92
PF3D7_0630000.1 0.09 0.06 0.08 0.17 0.63 0.9 0.33 0.15
PF3D7_0630200.1 0.89 0.25 0.19 0.86 2.87 2.08 2.57 1.71
PF3D7_0630400.1 0.95 0.2 0.16 0.3 0.41 1.86 11.45 24.33
PF3D7_0702600.1 0.66 0.51 0.74 1 1.41 1.43 1.32 0.66
PF3D7_0702900.1 2.73 4.51 8.43 21.77 95.53 159.56 219.01 85.43
PF3D7_0705800.1 0.35 0.29 0.54 1.55 10.25 26.63 24.34 5.38
PF3D7_0709100.1 0.39 0.27 0.27 0.82 14.47 60.18 117.7 62.07
PF3D7_0709800.1 2.71 1.5 1.65 3.53 19.94 38.29 62.97 65.84
PF3D7_0710300.1 0.17 0.52 1.77 9.57 55.89 65.32 57.8 17.78
PF3D7_0710500.1 0.23 0.21 0.17 1.97 23.79 65.22 56.51 11.22
PF3D7_0713400.1 4.8 4.39 6.66 16.32 53.92 55.09 85.17 59
PF3D7_0713700.1 1.18 1.64 3.83 15.7 62.66 95.86 137.33 71.23
PF3D7_0715200.1 0.77 0.33 0.27 0.59 2.86 16.63 45.03 26.96
PF3D7_0715400.1 0.14 0.14 0.2 0.48 12.27 70.6 70.72 20.57
PF3D7_0716300.1 2.45 0.95 1.4 20.19 282.13 687.18 1225.14 556.2
PF3D7_0716900.1 0.6 1.34 2.58 10.66 56.13 80.56 73.88 23.18
PF3D7_0719400.1 1.2 0.48 0.49 1.32 9.83 30.07 83.05 52.89
PF3D7_0721100.1 1.68 0.67 1.45 30.95 419.23 926.98 1169.9 458.5
PF3D7_0721700.1 0.18 0.16 0.27 0.6 1.52 1.28 1.89 1.08
PF3D7_0721900.1 7.81 3.72 5.63 21.58 87.89 119.63 115.99 90.72
PF3D7_0722800.1 0.15 0.15 0.17 0.41 1.01 1.41 1.04 0.75
PF3D7_0723200.1 0.15 0.04 0.01 0.13 0.15 1.14 0.84 1.05
PF3D7_0724400.1 6.82 8.66 12.22 31.21 113.9 139.59 113.48 37.02
PF3D7_0725400.1 210.48 38 6.82 4.92 3.23 4.58 18.61 159.19
PF3D7_0726700.1 0.84 0.43 0.38 3.3 35.93 82.35 106.77 68.89
PF3D7_0730800.1 204.23 223.94 209.96 391.37 503.04 167.58 55.76 18.91
PF3D7_0730800.2 204.23 223.94 209.96 391.37 503.04 167.58 55.76 18.91
PF3D7_0731600.1 0.91 0.99 2.74 20.31 201.29 348.13 466.76 143.36
PF3D7_0731800.1 2.39 2.51 3.3 3.3 5.52 3.54 3.72 2.49
PF3D7_0805600.1 28.08 10.29 6.48 16.51 89.82 104.5 89.72 38.03
PF3D7_0806200.1 0.82 0.19 0.1 0.12 0.35 1.21 11 22.04
PF3D7_0810100.1 0.23 0.37 0.3 1.31 15.06 35.16 73.72 32.25
PF3D7_0811600.1 1.86 0.69 1.41 3.25 10.75 16.75 40.85 34.98
PF3D7_0815300.1 0.12 0.07 0.07 0.29 4.73 11.58 15.51 4.98
PF3D7_0817100.1 0.13 0.09 0.08 0.81 10.34 17.36 14.22 3.28
PF3D7_0817500.1 7.25 23.1 45.81 162.53 558.81 921.06 1197.77 559.17
PF3D7_0817800.1 3.36 0.87 0.5 1.18 8.07 57.28 92.18 92.06
PF3D7_0819700.1 0.44 0.11 0.08 0.63 2.52 4.75 11.27 13.1
PF3D7_0820100.1 0.13 0.12 0.26 1.22 13.57 32.47 33.4 9.75
PF3D7_0820300.1 12.82 8.95 9.77 23.09 52.98 48.69 69.24 48.91
PF3D7_0820600.1 0.17 0.09 0.08 0.14 2.45 11.88 18.72 14.54
PF3D7_0825200.1 0.51 0.17 0.1 0.57 5.35 32.07 59.55 41.34
PF3D7_0825700.1 0.08 0.09 0.11 0.31 0.64 0.72 2.2 0.85
PF3D7_0825800.1 0.26 0.22 0.34 0.82 2.11 3.88 4.06 2.24
PF3D7_0827400.1 0.36 0.37 0.34 0.78 2.19 4.75 5.52 5.43
PF3D7_0827700.1 0.03 0.03 0.01 0.07 0.24 0.7 0.71 0.41
PF3D7_0829200.1 0.24 0.24 0.45 7.11 100.82 147.02 77.18 18.87
PF3D7_0830900.1 4.81 1.17 4.88 31.43 124.4 74.11 44.71 16.61
PF3D7_0831300.1 1.31 1.19 1.11 3.55 28.02 104.21 114.14 27.87
PF3D7_0831400.1 0.1 0.08 0.68 50.05 972.65 1039.93 278.94 17.52
PF3D7_0902800.1 0.15 0.07 0.08 0.26 3.62 27.65 48.66 23.82
PF3D7_0902900.1 0.1 0.15 0.76 7.13 22.76 16.82 9.71 3.94
PF3D7_0904300.1 0.04 0.02 0.02 0.1 0.41 0.84 0.9 0.46
PF3D7_0904400.1 0.43 0.16 0.24 1.96 23.96 58.43 127.67 84.71
PF3D7_0907800.1 1.56 1.22 2.22 7.78 32.74 64.65 99.93 76.09
PF3D7_0908100.1 0.49 0.1 0.04 0.15 0.63 4.16 13.26 7
PF3D7_0908300.1 0.56 0.35 0.23 0.71 17.35 91.42 160.67 65.71
PF3D7_0908300.2 0.56 0.35 0.23 0.71 17.35 91.42 160.67 65.71
PF3D7_0909200.1 0.18 0.05 0.06 0.15 0.64 0.6 0.79 0.62
PF3D7_0909600.1 1.14 0.45 0.2 0.67 9.8 40.67 100.87 66.3
PF3D7_0910300.1 1.18 1.3 2.51 10.82 40.15 46.64 35.4 21.04
PF3D7_0910800.1 0.39 0.54 1.05 5.09 27.15 52.46 59.08 28.82
PF3D7_0911600.1 0.49 0.24 0.11 0.25 4.83 26.39 73.69 29.67
PF3D7_0912200.1 0.49 0.67 0.7 1.57 2.78 2.36 3.23 1.5
PF3D7_0912400.1 0.91 0.65 0.79 4.3 39.13 139.62 188.45 60.89
PF3D7_0913500.1 0.48 0.43 1.3 5.17 12.67 38.2 69.83 41.95
PF3D7_0914000.1 1.04 0.62 0.9 3.76 16.16 21.02 17.3 4.54
PF3D7_0914200.1 6.56 4.05 3.85 8.71 24.07 32.11 38.02 24.65
PF3D7_0916300.1 0.52 0.16 0.12 0.28 0.48 1.08 8.1 13.17
PF3D7_0917200.1 0.22 0.09 0.06 0.16 0.16 0.39 1 4.78
PF3D7_0918400.1 0.08 0.06 0.06 0.16 1 4.59 7.08 3.78
PF3D7_0918800.1 1.7 2.3 3.67 8.85 36.07 37.83 26.88 6.33
PF3D7_0919100.1 3.88 6.43 11.24 30.59 101.76 156.33 312.32 185.7
PF3D7_0919600.1 0.11 0.08 0.09 0.81 22.74 65.64 65.88 15.3
PF3D7_0920300.1 0.16 0.24 0.11 0.44 3.4 13.74 16.58 5.56
PF3D7_0922300.1 0.39 0.26 0.17 0.45 1.4 6.98 7.73 1.97
PF3D7_0923200.1 0.83 2.34 4.51 14.52 60.89 65.71 36.69 5.26
PF3D7_0924500.1 0.86 0.33 0.29 0.85 3.43 4.37 18.48 26.35
PF3D7_0925100.1 0.12 0.1 0.15 0.37 1.69 2.18 1.27 1.13
PF3D7_0925900.1 83.46 55.15 60.23 182.76 1183.76 1347.14 708.82 122.92
PF3D7_0926200.1 33.33 7.41 4.46 18.43 96.99 136.31 172.64 82.86
PF3D7_0926400.1 0.76 0.53 0.91 2.05 4.69 16.11 50.64 32.71
PF3D7_0926600.1 0.19 0.06 0.06 0.09 0.39 1.3 2.36 0.93
PF3D7_0931500.1 3.15 1.55 3.09 10.45 48.27 79.19 129.08 85.46
PF3D7_0932100.1 14.35 4.16 1.89 2.32 6.27 24.36 86.04 95.25
PF3D7_0932500.1 0.36 0.12 0.09 0.35 4.17 10.18 20.19 17.26
PF3D7_0932600.1 0.3 0.11 0.05 0.71 12.46 30.61 54.49 19.54
PF3D7_0933300.1 0.43 0.1 0.13 0.44 9.61 38.01 53.99 20.63
PF3D7_0935100.1 9.45 13.14 20.89 51.13 158.12 209.31 330.07 142.89
PF3D7_0935300.1 1.6 1.5 2.26 4.29 12.08 25.56 38.7 21.64
PF3D7_0937100.1 0.06 0.02 0.08 0.18 0.55 2.07 3.14 1.4
PF3D7_1002300.1 0.03 0.08 0.04 0.2 1.61 4.24 2.43 0.4
