id hr5 hr10 hr15 hr20 hr25 hr30 hr35 hr40
PF3D7_1363700.1 0.18 0.09 0.06 0.53 12.15 27.8 42.4 14.56
PF3D7_1364600.1 0.22 0.1 0.09 0.19 3.89 18.67 41.71 21.88
PF3D7_1367700.1 2.82 4.87 8.42 23.61 90.89 112.11 89.93 23.92
PF3D7_1369600.1 0.49 0.65 1.86 8.9 44.95 73.43 124.91 40.94
PF3D7_1405400.1 0.08 0.04 0.09 0.54 9 16.79 18.26 5.08
PF3D7_1406400.1 0.22 0.07 0.09 0.28 8.4 33.78 50.53 19.8
PF3D7_1406600.1 0.45 0.16 0.13 1.34 16.75 34.49 71.54 36.6
PF3D7_1409100.1 1.75 2.15 2.79 10.61 56.57 121.11 237.93 100.9
PF3D7_1411400.1 0.15 0.15 0.19 0.32 5.56 21.82 33.83 8.64
PF3D7_1411600.1 0.06 0.06 0.09 0.3 3.61 9.99 14.72 3.68
PF3D7_1411800.1 3.15 2.97 2.79 8.35 29.77 52.42 53.64 13.25
PF3D7_1413400.1 0.44 0.23 0.23 0.48 14.37 48.38 92.06 44.11
PF3D7_1413500.1 0.48 0.13 0.02 0.15 6.63 35.94 64.29 30.68
PF3D7_1416800.1 0.13 0.11 0.21 2.38 18.55 30.52 27.84 8.6
PF3D7_1419200.1 0.12 0.05 0.17 2.55 38.4 85.46 85.17 19.06
PF3D7_1419800.2 0.52 0.19 0.21 2.7 45.64 96.07 108 37.13
PF3D7_1420400.1 3.13 7.03 11.49 32.07 130.81 155.08 117.18 27.61
PF3D7_1427000.1 0.82 0.25 0.16 1.16 22.34 60.21 80.37 31.21
PF3D7_1428600.1 0.3 0.17 0.12 0.62 13.62 45.14 57.95 20.31
PF3D7_1429100.1 1.01 0.58 0.82 7.39 42.51 103.05 249.36 113.46
PF3D7_1430700.1 0.11 0.06 0.07 0.15 4.48 32.61 38.73 16.78
PF3D7_1433700.1 0.24 0.08 0.13 1.42 15.98 28.33 34.3 10.29
PF3D7_1436800.1 0.21 0.11 0.18 1.27 10.36 33.82 49.65 17.23
PF3D7_1437100.1 0.41 0.18 0.12 0.48 1.79 14.27 49.15 24.91
PF3D7_1440200.1 0.12 0.05 0.04 0.96 9.95 16.19 18.74 6.52
PF3D7_1440300.1 0.04 0.03 0.03 0.51 5.11 12.89 11.58 3.53
PF3D7_1443900.1 0.29 0.28 0.39 5.26 48.85 81.54 102.18 32.17
PF3D7_1446400.1 0.18 0.15 0.12 0.86 5.55 11.36 12.13 4.46
PF3D7_1452300.1 0.09 0.04 0.07 0.1 4.35 18.99 34.85 14.18
PF3D7_1467300.1 0.12 0.11 0.12 0.28 5.67 32.28 51.75 23.5
PF3D7_1469000.1 0.6 0.46 1.81 7.1 32.99 58.88 106.63 45.9
PF3D7_1469600.1 0.07 0.05 0.05 0.16 1.26 4.05 6.97 2.78
PF3D7_1470800.1 0.34 0.2 0.13 0.82 8.98 26.24 60.65 32.91
PF3D7_1472700.1 1.2 0.2 0.08 0.21 5.32 13.08 18.16 7.81
PF3D7_1472800.1 0.95 1.36 2.07 3.55 16.83 119.7 208.93 63.85
